CECATI,Especialidad,Clave,Año,Modalidad
152,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
152,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
152,Informática,23-O-2019A,2022,Mixta
153,Administración,25-A-2019A,2022,Presencial
153,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
153,Diseño de Moda,13-DM-2019A,2022,Presencial
153,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
153,Soporte Técnico a Equipos y Sistemas Computacionales,11-STESC-2019A,2022,Presencial
153,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
153,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
153,Informática,23-O-2019A,2022,Mixta
155,Administración,25-A-2019A,2022,Presencial
155,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
155,Artes Gráficas,24-AG-2019A,2022,Presencial
155,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
155,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
155,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
155,Diseño y Fabricación de Muebles de Madera,16-DFMM-2019A,2022,Presencial
155,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
155,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
155,Informática,23-O-2019A,2022,Mixta
156,Administración,25-A-2019A,2022,Presencial
156,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
156,Artes Gráficas,24-AG-2019A,2022,Presencial
156,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
156,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
156,Diseño de Moda,13-DM-2019A,2022,Presencial
156,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
156,Uso de la Lengua Inglesa en Diversos Contextos,22-ULIDC-2019A,2022,Presencial
156,Asistencia Educativa Inicial y Preescolar,26-AE-2019A,2022,Presencial
156,Informática,23-O-2019A,2022,Mixta
157,Administración,25-A-2019A,2022,Presencial
157,Alimentos y Bebidas,30-AB-2018A,2022,Presencial
157,Aplicación de Normas y Procedimientos Contables y Fiscales,25-ANPCFEE-2017A,2022,Presencial
157,Artes Gráficas,24-AG-2019A,2022,Presencial
157,Asistencia Ejecutiva,25-AE-2017A,2022,Presencial
157,Confección de Prendas de Vestir,13-CIR-2022A,2023,Mixta
157,Cuidados Cosmetológicos Faciales y Corporales,29-C-2019A,2022,Presencial
157,Diseño e Imagen de la Carrocería,08-DIC-2017A,2023,Mixta
157,Estilismo y Diseño de Imagen,29-EDI-2019A,2022,Presencial
157,Expresión Gráfica Digital,22-EGD-2017A,2022,Presencial
157,Gestión y Venta de Servicios Turísticos,30-GVST-2018A,2022,Presencial
157,Hotelería,30-H-2018A,2022,Presencial
157,Mantenimiento al Sistema Eléctrico Automotriz,08-MASEA-2022A,2023,Presencial
157,Mantenimiento al Sistema Electrónico Automotriz,08-MSEA-2020A,2023,Presencial
157,Mantenimiento Electromecánico del Automóvil,08-MEA-2019A,2022,Presencial
157,"Prótesis, Órtesis y Fisioejercitación",18-PO-2017A,2023,Mixta
157,Soporte a Instalaciones Eléctricas y Motores Eléctricos,04-SIEME-2019A,2022,Presencial
